telepulesnev;kshk5;jogallas;terulet;lakonepesseg;lakasszam;nepsuruseg
Mátraterenye;33525;község;2813;1813;885;64,45
Mátraverebély;30100;község;1840;1840;851;100,00
Mátyásdomb;16948;község;3539;764;288;21,59
Matty;15051;község;1690;320;145;18,93
Mátyus;20668;község;1103;291;141;26,38
Máza;33756;község;1069;1155;486;108,04
Mecseknádasd;13444;község;3608;1501;635;41,60
Mecsekpölöske;11402;község;731;374;156;51,16
Mecsér;27359;község;2109;601;285;28,50
Medgyesbodzás;20765;község;3167;1008;586;31,83
Medgyesegyháza;30128;város;6429;3504;1827;54,50
Medina;30562;község;2224;806;334;36,24
Megyaszó;21768;község;5342;2659;865;49,78
Megyehíd;30872;község;599;312;124;52,09
Megyer;04987;község;426;17;21;3,99
Meggyeskovácsi;25760;község;2464;713;338;28,94
Méhkerék;23931;község;2585;2031;864;78,57
Méhtelek;29799;község;862;755;274;87,59
Mekényes;30492;község;1777;278;142;15,64
Mélykút;16018;város;12347;4785;2781;38,75
Mencshely;27137;község;1261;224;112;17,76
Mende;03692;község;2715;4173;1500;153,70
Méra;25618;község;1512;1702;576;112,57
Merenye;07737;község;1447;250;121;17,28
Mérges;20385;község;651;86;53;13,21
Mérk;07463;nagyközség;2508;2104;800;83,89
Mernye;23630;község;2593;1265;548;48,79
Mersevát;14809;község;1054;572;234;54,27
Mesterháza;31875;község;419;147;80;35,08
Mesteri;15723;község;1169;270;132;23,10
Mesterszállás;30234;község;4292;651;382;15,17
Meszes;11758;község;1140;174;117;15,26
Meszlen;32832;község;1202;197;96;16,39
Mesztegnyõ;16106;község;4471;1349;565;30,17
Mezõberény;19628;város;11853;10013;4516;84,48
Mezõcsát;13833;város;10308;5799;2436;56,26
Mezõcsokonya;30854;község;3078;1176;449;38,21
Mezõd;03470;község;1041;120;69;11,53
Mezõfalva;17552;nagyközség;8042;4626;1810;57,52
Mezõgyán;04206;község;5987;1037;501;17,32
Mezõhegyes;11873;város;15544;5143;2874;33,09
Mezõhék;26286;község;8982;347;164;3,86
Mezõkeresztes;11323;város;7426;3711;1663;49,97
Mezõkomárom;05689;község;2905;900;410;30,98
Mezõkovácsháza;30322;város;6259;5994;2925;95,77
Mezõkövesd;19433;város;10049;16183;7556;161,04
Mezõladány;32656;község;1407;1114;355;79,18
Mezõlak;23560;község;2158;963;393;44,62
Mezõnagymihály;18379;község;6186;993;502;16,05
Mezõnyárád;11749;község;1406;1588;687;112,94
Mezõörs;12812;község;4848;963;343;19,86
Mezõpeterd;31033;község;1823;596;260;32,69
Mezõsas;18847;község;2639;639;303;24,21
Mezõszemere;25089;község;2148;1066;605;49,63
Mezõszentgyörgy;06576;község;2712;1292;458;47,64
Mezõszilas;29036;község;6497;2034;819;31,31
Mezõtárkány;31662;község;4061;1582;701;38,96
Mezõtúr;04260;város;28972;16323;7768;56,34
Mezõzombor;03443;község;3879;2449;864;63,13
Miháld;27526;község;2164;730;358;33,73
Mihályfa;02130;község;1207;343;175;28,42
Mihálygerge;13222;község;1106;546;308;49,37
Mihályháza;04668;község;2152;768;311;35,69
Mihályi;21980;község;1628;1038;460;63,76
Mike;20905;község;3241;589;251;18,17
Mikebuda;24466;község;4217;672;298;15,94
Mikekarácsonyfa;22141;község;850;299;144;35,18
Mikepércs;24217;község;3693;4598;1565;124,51
Miklósi;33376;község;1047;200;120;19,10
Mikófalva;31282;község;1441;692;323;48,02
Mikóháza;24253;község;1691;506;239;29,92
Mikosszéplak;30599;község;1866;295;146;15,81
Milejszeg;02662;község;908;338;153;37,22
Milota;31750;község;1539;976;316;63,42
Mindszent;21555;város;5935;6560;3163;110,53
Mindszentgodisa;16285;község;2297;838;359;36,48
Mindszentkálla;04534;község;1084;241;111;22,23
Misefa;04756;község;652;276;119;42,33
Miske;30632;község;4227;1599;734;37,83
Miskolc;30456;megyeszékhely,megyeijogúváros;23667;157177;76772;664,12
Miszla;02811;község;3471;266;190;7,66
Mocsa;26930;község;6719;2094;824;31,17
Mogyoród;17783;nagyközség;3448;6672;2374;193,50
Mogyorósbánya;28255;község;732;823;311;112,43
Mogyoróska;10968;község;1917;73;106;3,81
Moha;25715;község;988;587;232;59,41
Mohács;23959;város;11223;17278;8413;153,95
Mohora;27915;község;1595;962;382;60,31
Molnári;21014;község;1286;702;269;54,59
Molnaszecsõd;03294;község;1169;414;180;35,41
Molvány;29522;község;1376;175;80;12,72
Monaj;09016;község;1153;245;103;21,25
Monok;07825;község;4196;1527;799;36,39
Monor;10551;város;4679;18125;6837;387,37
Monorierdõ;34397;község;1507;4191;1593;278,10
Mónosbél;31565;község;1378;370;146;26,85
Monostorapáti;24040;község;2559;1124;487;43,92
Monostorpályi;25894;község;4444;2125;955;47,82
Monoszló;22512;község;746;98;59;13,14
Monyoród;16027;község;712;147;92;20,65
Mór;18485;város;10861;13947;5713;128,41
Mórágy;20701;község;1761;713;284;40,49
Mórahalom;04349;város;8314;6100;2721;73,37
Móricgát;34096;község;3289;429;320;13,04
Mórichida;02556;község;3230;803;356;24,86
Mosdós;31343;község;1695;896;338;52,86
Mosonmagyaróvár;04783;város;8378;32878;14406;392,43
Mosonszentmiklós;33677;község;3071;2419;955;78,77
Mosonszolnok;28149;község;4392;1701;591;38,73
